id,title,company,location,skills,date_posted,source,scraped_at
1,Data Analyst,UBL - United Bank Limited,"Karachi Division, Sindh, Pakistan",General,1 week ago,LinkedIn,5/25/2025 1:33
2,Marketing Business Intelligence (BI) Analyst,Devsinc,"Lahore, Punjab, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:33
3,Data Analyst,S&P Global,"Islamabad, Islāmābād, Pakistan",General,2 weeks ago,LinkedIn,5/25/2025 1:33
4,Business Intelligence Analyst,foodpanda,"Karāchi, Sindh, Pakistan",General,5 days ago,LinkedIn,5/25/2025 1:33
5,Data Analyst,Zameen.com,"Lahore, Punjab, Pakistan",General,2 weeks ago,LinkedIn,5/25/2025 1:33
6,"Data Analyst, Transcripts",S&P Global,"Islamabad, Islāmābād, Pakistan",General,1 week ago,LinkedIn,5/25/2025 1:33
7,Data Analytics and Reporting Specialist,HugoBank,"Karāchi, Sindh, Pakistan",General,2 weeks ago,LinkedIn,5/25/2025 1:33
8,Data Analyst,Assembly Talent,"Lahore, Punjab, Pakistan",General,1 week ago,LinkedIn,5/25/2025 1:33
9,Data Analyst,Vyro,"Islamabad, Islāmābād, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:33
10,Research Executive - Quantitative,NielsenIQ,"Karachi Division, Sindh, Pakistan",General,1 day ago,LinkedIn,5/25/2025 1:33
11,Data Analyst,CureMD,"Lahore, Punjab, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:33
12,Data Engineer,Next Generation Innovations (NextGENi),"Karachi Division, Sindh, Pakistan",General,2 months ago,LinkedIn,5/25/2025 1:33
13,"Data Analyst, Bank Rates",S&P Global,"Islamabad, Islāmābād, Pakistan",General,2 weeks ago,LinkedIn,5/25/2025 1:33
14,Data Research Intern,PakWheels.com,"Lahore, Punjab, Pakistan",General,3 months ago,LinkedIn,5/25/2025 1:33
15,Data Analyst,Translation Empire PK,"Rawalpindi, Punjab, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:33
16,Data/Business Analyst,Kavak.com,"Lahore, Punjab, Pakistan",General,3 days ago,LinkedIn,5/25/2025 1:33
17,Business Intelligence Analyst,Zameen.com,"Lahore, Punjab, Pakistan",General,2 weeks ago,LinkedIn,5/25/2025 1:33
18,Data Engineer,Convo,"Islamabad, Islāmābād, Pakistan",General,2 days ago,LinkedIn,5/25/2025 1:33
19,Data Analyst,Eon,"Lahore, Punjab, Pakistan",General,1 day ago,LinkedIn,5/25/2025 1:33
20,Business Intelligence Analyst.,Tripshepherd,"Islamabad, Islāmābād, Pakistan",General,1 week ago,LinkedIn,5/25/2025 1:33
21,Data Research Executive,PakWheels.com,"Lahore, Punjab, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:33
22,Data Annotation Specialist,Ryz Labs,"Sindh, Pakistan",General,3 days ago,LinkedIn,5/25/2025 1:33
23,Mid Data Analyst,Translation Empire PK,"Rawalpindi, Punjab, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:33
24,Excel Specialist for Shopify (RVA),RemoteVA,Pakistan,General,1 month ago,LinkedIn,5/25/2025 1:33
25,Senior Business Intelligence Analyst,Dubizzle Labs,"Lahore, Punjab, Pakistan",General,1 day ago,LinkedIn,5/25/2025 1:33
26,Marketing Operations Data Analyst,XTIUM,Pakistan,General,2 weeks ago,LinkedIn,5/25/2025 1:33
27,Offshore Competitive Intelligence Analyst,ibex. Pakistan,"Karachi Division, Sindh, Pakistan",General,1 week ago,LinkedIn,5/25/2025 1:33
28,Reporting Dashboard Developer,Translation Empire PK,"Rawalpindi, Punjab, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:33
29,"Data Engineer, Tech",ibex,"Lahore, Punjab, Pakistan",General,2 days ago,LinkedIn,5/25/2025 1:33
30,Data Annotator,micro1,Pakistan,General,1 day ago,LinkedIn,5/25/2025 1:33
31,Marketing Data Analyst,"dinCloud Pakistan, An ATSG Company","Islamabad, Islāmābād, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:33
32,Data Analyst (Annotator),Cowlar Design Studio,"Islamabad, Islāmābād, Pakistan",General,2 weeks ago,LinkedIn,5/25/2025 1:33
33,"Data Analyzer, Record Keeper Institute of Microbiology","Government  College University, Faisalabad","Faisalabad, Punjab, Pakistan",General,4 months ago,LinkedIn,5/25/2025 1:33
34,Data Operations Associate,Octus,"Islamabad, Islāmābād, Pakistan",General,2 months ago,LinkedIn,5/25/2025 1:33
35,Business Intelligence Analyst,Buy Box Experts,"Islamabad, Islāmābād, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:33
36,Data Analyst- Real Estate Industry Content,S&P Global,"Islamabad, Islāmābād, Pakistan",General,2 weeks ago,LinkedIn,5/25/2025 1:33
37,Interested in joining our team?,Motive,Pakistan,General,1 week ago,LinkedIn,5/25/2025 1:33
38,Senior Data Analyst,Translation Empire PK,"Rawalpindi, Punjab, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:33
39,Database Engineer,Stewart Pakistan Private Limited,"Lahore, Punjab, Pakistan",General,1 week ago,LinkedIn,5/25/2025 1:33
40,Data Center Engineer,Stewart Pakistan Private Limited,"Lahore District, Punjab, Pakistan",General,1 week ago,LinkedIn,5/25/2025 1:33
41,Lead Data Analyst - Data Operations,S&P Global,"Islamabad, Islāmābād, Pakistan",General,5 days ago,LinkedIn,5/25/2025 1:33
42,Data Engineer,Creative Chaos,Pakistan,General,1 month ago,LinkedIn,5/25/2025 1:33
43,Research Assistant (Data Analyst),VecGen AI,"Multan, Punjab, Pakistan",General,14 hours ago,LinkedIn,5/25/2025 1:33
44,Data Engineer,Leed | Pakistan,"Islamabad, Islāmābād, Pakistan",General,1 week ago,LinkedIn,5/25/2025 1:33
45,"Data Collector (Rota Virus), Department of Community Health Sciences
Medical College",AKU Centre for Regenerative Medicine and Stem Cell Research,"Karāchi, Sindh, Pakistan",General,1 week ago,LinkedIn,5/25/2025 1:33
46,Data Science Engineer,Devsinc,"Lahore, Punjab, Pakistan",Data Science,3 weeks ago,LinkedIn,5/25/2025 1:33
47,Data Engineering Intern (Leading to Full-time Role),Avanceon Middle East & South Asia,"Lahore, Punjab, Pakistan",General,2 months ago,LinkedIn,5/25/2025 1:33
48,Front-End Developer,Spiralyze,"Karāchi, Sindh, Pakistan",General,1 week ago,LinkedIn,5/25/2025 1:36
